role,content
user,"Review: có lẽ là mcdonald chậm nhất mà tôi từng đến. mất 15 phút cho một chiếc bánh táo tôi không nói rằng nó sẽ mất nhiều thời gian như vậy. những người khác đang chờ đợi tối đa 20 phút cho thực phẩm tiêu chuẩn khác. nếu không, đó chỉ là một mcdonald thực sự.. Sentiment: 2"
user,"Review: quá đông khách, không đủ chỗ ngồi, chỗ rửa tay rất bẩn. Sentiment: 2"
user,Review: giống như tất cả các mcdonalds. Sentiment: 2
user,Review: đông. đăt. sang chanh phong trao. Sentiment: 2
user,Review: thức ăn sạch sẽ nhưng dịch vụ chậm. Sentiment: 2
user,"Review: đây là mcdonald, nơi bạn có thể gặp bất cứ nơi nào ... Sentiment: 2"
user,Review: đó là một nơi gặp gỡ tour du lịch và tôi đã đi vào một lúc và mua nước đóng chai.. Sentiment: 2
user,Review: quá đông đúc và lộn xộn. Sentiment: 2
user,Review: khỏe. Sentiment: 2
user,Review: địa phương hóa nhưng đủ tốt cho khách du lịch với dị ứng thực phẩm hà nội địa phương.. Sentiment: 2
user,Review: ghé thăm một người vợ yếu đuối trong thực phẩm địa phương. bánh mì kẹp thịt quá khác nhau.. Sentiment: 2
user,Review: địa điểm hút khách nước ngoài và trong nước. đồ ăn cũng tàm tạm. Sentiment: 2
user,Review: nó khác với những gì bạn đang hỏi.. Sentiment: 2
user,Review: quá nhiều người và quá ồn. Sentiment: 2
user,Review: thường ㅜ. Sentiment: 2
user,"Review: bánh mì kẹp thịt lợn khá đẹp, nhưng nó không đi kèm với thiết lập.. Sentiment: 2"
user,Review: phục vụ chậm và kô nhiệt tình. Sentiment: 2
user,"Review: mới và sạch sẽ mặc dù đôi khi quá đầy đủ với các nhân viên hữu ích cố gắng hết sức để giữ thời gian chờ đợi của bạn càng ngắn càng tốt. không có sữa lắc không may. cà phê là thú vị, đáng ngạc nhiên. thức ăn được nấu để đặt hàng và nóng.. Sentiment: 2"
user,Review: bánh mì không giống như các mcdonalds khác và thức ăn không nóng khi chúng tôi nhận được. nhưng dịch vụ rất nhanh.. Sentiment: 2
user,Review: nhìn view khá đẹp mà chưa có dịp ăn nên chưa biết chất lượng ra sao. Sentiment: 2
user,"Review: vâng, nó là thực phẩm sạch và tươi, và phổ biến trong ppl của người việt nam. Sentiment: 2"
user,Review: đồ ăn bình thường. Sentiment: 2
user,Review: quá đông đúc. Sentiment: 2
user,Review: tôtf. Sentiment: 2
user,Review: đồ ăn được. Sentiment: 2
user,Review: không có thực phẩm ăn chay có sẵn.. Sentiment: 2
user,Review: quản lý. Sentiment: 2
user,Review: duy nhất ở hà nội. Sentiment: 2
user,Review: hà nội duy nhất của mcdonald. hàng dài. Sentiment: 2
user,"Review: mcdonald bẩn thỉu nhất mà tôi từng thấy tầng dưới là xấu, nhưng trên lầu là khủng khiếp. sàn nhà là một sân trượt băng dầu thật, nhà vệ sinh bẩn thỉu và chúng tôi đã đến đó vào đầu ngày nên tôi sợ khi nghĩ rằng nó sẽ tệ đến mức nào sau này. tuy nhiên, thực phẩm đã như mong đợi. Sentiment: 2"
user,"Review: có một số nước sốt mcnuggets, vì vậy bạn có thể tự mang nó đến và ăn nó. mcdonalds, không khác gì ở đây macwing là ㅂㄹ. Sentiment: 2"
user,"Review: đồ ăn cũng đc, không gian và người bán hàng mình không thích lắm. Sentiment: 2"
user,Review: chỗ ngoài mát mẽ rất chill đặc biệt là buổi tối muộn. Sentiment: 2
user,"Review: bán hàng chuẩn quốc tế, ăn bằng tay nhưng lại không có chỗ rửa tay tiện lợi. toàn phải leen lầu, hoặc đi xa, chỗ thì rửa xong lại phải kéo cửa nặng bước ra với lại bước vào nhà vệ sinh hôi cũng tuột mood. không hiểu tại sao.. Sentiment: 2"
user,Review: siêu đông đúc trong bữa trưa thứ sáu. Sentiment: 2
user,"Review: vị trí thuận tiện hẹn hò gặp gỡ, nhiều chổ đậu xe ô tô và xe 2 bánh tải app mcdonald để nhận thông báo khuyến mãi. Sentiment: 2"
user,Review: thức ăn ngon. nhưng wc ô uế.. Sentiment: 2
user,Review: không phải là thời điểm tốt để đến thăm họ đã xây dựng trong giờ ăn trưa.. Sentiment: 2
user,"Review: khu này đồ ăn ngon, mỗi tội có cái cống hôi ăn mất ngon.. Sentiment: 2"
user,"Review: món ăn và dịch vụ đạt chuẩn, nhà hàng đông khách, náo nhiệt thích hợp cho gia đình. Sentiment: 2"
user,"Review: nó vẫn là mcdonald, đây là một địa chỉ tốt nếu bạn muốn ăn nhanh, tuy nhiên tôi thấy rằng thẻ bị hạn chế so với các quốc gia khác một chút thất vọng.. Sentiment: 2"
user,"Review: không hiểu sao , không ngon như bên nga hay bên singapore. Sentiment: 2"
user,Review: các nhân viên lười biếng vào ban đêm và không được vệ sinh. Sentiment: 2
user,Review: nơi này là tốt. mở cửa 24 giờ. nhà vệ sinh đã rất sạch sẽ. dịch vụ đã chậm.. Sentiment: 2
user,Review: thấy cũng ít khách. Sentiment: 2
user,Review: không sao đâu. nhưng các nhân viên không bao giờ cung cấp dịch vụ bàn khi trả tiền tại quầy.. Sentiment: 2
user,Review: lựa chọn dễ dàng nhân viên chu đáo. Sentiment: 2
user,Review: tạm được ở khâu không gian. hệ thống order phiền phức có cảm giác bị lừa. Sentiment: 2
user,Review: phục vụ nhanh. nhân viên giao đồ ăn cho khách không kiểm tra bill dẫn tới giao nhầm suất ăn. Sentiment: 2
user,"Review: gà và khoai chiên không giòn, có hiện tượng ngấm dầu. Sentiment: 2"
user,"Review: quan thoang, rông, quang canh ok.. Sentiment: 2"
user,"Review: thông thường nó là tự phục vụ. bạn chọn các món ăn của bạn trong thực đơn, đặt hàng và chờ đợi để tự mình lấy nó. không ai bảo tôi mang thức ăn của tôi . giá cả không đáng yêu. phần nhỏ không giống như quảng cáo. bạn có thể chọn burgerking, texas hoặc jollibee để có trải nghiệm tốt hơn vị trí được xây dựng tốt, ở quận trung tâm quận 1 ồn ào và một chút không bẩn thỉu.. Sentiment: 2"
user,Review: như mọi macdonal. Sentiment: 2
