text,label
các nhân_viên rất hữu_ích và đặt_hàng dễ_dàng với nhiều lựa_chọn chỗ ngồi . nhưng omg phòng_vệ sinh là rất khó_chịu .,2
"mỗi lần vào ăn có hoá_đơn thanh_toán mang ra cho bảo_vệ thì ngta vẫn thu tiền tôi cần ban quản_lý sử lý vấn_đề này . tôi không phải người keo_kiệt nhưng cách xin tiền đểu của bảo_vệ ở đây tôi thật_sự không thích , mỗi cửa_hàng khi mở ra sẽ có chỗ để xe cho khách_hàng chúng_tôi để chứ không phải để chúng_tôi vào ăn còn mất tiền thuê chỗ để xe như_vậy",0
"nơi này đã tốt hơn . thiếu nhân_viên gây ra thiếu dịch_vụ đàng_hoàng như rót nước , làm sạch .",2
gà ở đây rất ngon,2
"nếu bạn không mong_đợi nó , nó rất ngon nếu bạn mong_chờ nó , bạn đang thất_vọng hahaha kem luôn bằng_phẳng haha",2
vị_trí thuận_lợi cho những cuộc hẹn gặp :mặt cười với đôi mắt trái tim:,1
cuối tuần bận_rộn,2
"tôi đã làm kem matcha trong máy tự thứ_tự chỉ cần oreo kem zoom tôi phải đi ăn một lần nữa vì tôi tự hỏi hương_vị hamburger trên tầng hai của cửa_hàng , mùi nước lau nước ...",2
"mcdonalds tiêu_chuẩn , hợp_lý nếu bạn bỏ lỡ một chiếc bánh hamburger giá rẻ . khi tôi đi thì trống_rỗng vì du_lịch pandemi vẫn còn bắt_đầu .",2
điều_hoà_không_khí,1
view bùng_binh khá chill cho người thích nhìn xe_cộ qua_lại,1
"đồ_ăn rất ngon . chất_lượng tốt , nhân_viên thân_thiện , phục_vụ nhanh_chóng . đáng đồng_tiền",1
bánh_mì kẹp thịt mcdonalds tồi_tệ nhất mà tôi từng có .,0
"tốt , nhưng không có chỗ để xe_hơi . gửi xe khá xa , được cái đi bộ có nhiều bóng cây .",1
thức_ăn bằng nhựa,0
chờ món ăn rất lâu,0
thức_ăn cũng ổn nhưng phục_vụ quá lâu . đã ăn xong thức_ăn nhưng nước uống vẫn chưa có . một lần đến và không quay lại,0
sao cái gì sáng việt_nam cũng bị biến_tướng theo hướng xấu nhỉ nhìn phần big mac bán ở vn mà mình thấy xấu_hổ,0
"đồ_ăn bình_thường , size quá bé so với các nhãn_hiệu khác , hambuger rất tệ , không hệ ngon . gà rán thì tạm được nhưng hơi khô . điểm cộng là có_thể mua và tự thanh_toán qua các màn_hình cảm_ứng lớn . giá cao so với chất_lượng đồ_ăn . không bằng kfc và lotteria , được mỗi vị_trí đắc_địa .",2
nơi đáng yêu để_dành thời_gian .... cánh_gà là một trong những món ăn yêu thích .,1
"không hợp_khẩu vị , đông vl",2
"đánh_giá mcdonald , một chuỗi thức_ăn nhanh toàn_cầu mang tính biểu_tượng , không cần giới_thiệu . đó là một nơi mà nhiều người ghé thăm cho các bữa ăn nhanh_chóng và thuận_tiện . đây là đánh_giá về kinh_nghiệm của mcdonald , xem_xét các khía_cạnh khác nhau chất_lượng thực_phẩm mcdonalds cung_cấp một thực_đơn nhất_quán các món ăn thức_ăn nhanh như bánh_mì kẹp thịt , bánh sandwich gà , khoai_tây chiên và sữa lắc . mặc_dù thực_phẩm có_thể dự_đoán được và có_thể thoả_mãn , nhưng nó thường thiếu chất_lượng người sành ăn và độ tươi được tìm thấy trong các cơ_sở ăn_uống cao_cấp . hương_vị có_thể thay_đổi một_chút tuỳ_thuộc vào vị_trí , nhưng nó thường tuân_thủ một hương_vị quen_thuộc , tiêu_chuẩn .",2
"nếu bạn không biết mcdonald là như_thế_nào , sẽ không có mô_tả nào về tôi .",2
khách cũng đông,1
mcdonalds của nó ... thực_phẩm chính_xác là những gì bạn mong_đợi và cơ_sở sạch_sẽ . tôi ước khu_vực chơi trẻ_em lớn hơn một_chút .,1
"quán phục_vụ nhanh , sạch_sẽ",1
thức_ăn được làm rất nhanh và ngon ạ,1
"đây là mcdonald , nơi bạn có_thể gặp bất_cứ nơi nào ..",2
có_vẻ như là một và duy_nhất ở hà_nội hoàn_toàn đáng để có một ol mac tốt hoặc đôi phô_mai đôi,1
"vị_trí đẹp , phù_hợp giới trẻ",2
cái gờ này làm tôi đau chân khi va vào . nếu được nên đập bỏ nó đi .,1
"chắc do mình thấy không hợp với vị gà mặn , ăn ngán .",2
ăn tạm được ...,2
có rất nhiều người và mùi nước trong cửa_hàng .,2
quá tệ ngoài cái mác mcdonals,0
"quan thoang , rông , quang canh ok .",2
quá bận_rộn,2
"nơi này đã tốt hơn . thiếu nhân_viên gây ra thiếu dịch_vụ đàng_hoàng như rót nước , làm sạch .",2
"dịch_vụ ý tôi là nhân_viên thu_ngân không_thể hiểu tiếng anh và nói , nó không nên xảy ra trong một nhượng quyền thương_mại quốc_tế",0
"nhân_viên thân_thiện , thực_phẩm phương tây tốt và giá_cả hợp_lý mặc_dù đắt tiền theo tiêu_chuẩn việt_nam . hãy đến wifi miễn_phí , hãy ở lại ... wifi miễn_phí",1
"không order được với nhân_viên mà bị yêu_cầu order qua máy trong khi quầy order đang trống , order_qua_máy_lại đông người và chờ rất lâu . thao_tác order trên máy rất bất_tiện so với order trực_tiếp .",0
bán các loại trà đặc_sản vùng miền,1
"ngon , phục_vụ tạm ổn .",1
tuyệt_vời . ăn no với combo . 279k . chỉ 2 người_lớn . quá nhiều . còn mang về nữa .,1
"view đẹp , đồ_ăn bình_thường",1
rất đẹp và ân_cần phục_vụ,1
"nhà_hàng khá đông vào buổi chiều_tối , đặc_biệt rất đông vào cuối tuần . bạn phải chờ khoảng 10 đến 20 phút để nhận phần ăn của mình tuỳ vào số_lượng món bạn gọi tôi gọi cho 4 người . bãi đỗ ô_tô chỉ để được tối_đa khoảng 8 xe , còn lại chủ_yếu cho xe_máy . lưu_ý miễn_phí giữ xe trong 2 giờ đầu bạn phải giữ lại hoá_đơn , sau đó bạn phải trả phí theo giờ , bạn có_thể xem lưu_ý này ở quầy nhận_thức ăn . bạn có_thể đặt món và thanh_toán trực_tiếp với nhân_viên hoặc tự đặt món và thanh_toán với những máy_tính bảng khổng_lồ d sẽ có nhân_viên hỗ_trợ nếu họ đang rảnh . có những quầy cho bạn lấy tương cà , tương_ớt nhưng thường là không còn khay đựng khiến tôi cảm_thấy phiền vì cứ phải đi xin nhân_viên . hầu_hết món ăn_ở đây ngon_miệng , tuy_nhiên rau xà_lách trong burger có_vẻ không được tươi . nhìn_chung đây là 1 nơi phù_hợp dành tụ_tập gia_đình và bạn_bè nếu bạn có_thể chấp_nhận những lỗi nhỏ của nhà_hàng .",1
nhân_viên hời_hợt với khách_hàng . khách_hàng hỏi nhân_viên không take care thái_độ khó_chịu khi khách_hàng order,0
"có rất nhiều người phương tây . các nhân_viên đang đặt_hàng đột_nhiên bằng tiếng hàn , cảm_ơn bạn vì đã xấu_hổ",1
đfdf,0
đồ_ăn bình_thường,2
"vị_trí thuận_tiện , thoát mát",1
"tôi rất hài_lòng về địa_điểm này , lịch_sự , vui vẽ , thoải_mái rất ok .",1
"nhân_viên giữ xe nói_chuyện mất_dạy , vòi tiền khách_hàng",0
"bình_thường , lúc này thêm order trên máy_tính nên khách dễ lựa_chọn hơn",2
một mcdonald là một lựa_chọn an_toàn khi bạn đi đến các thị_trấn xa_lạ và bạn không biết một nơi tốt để ăn trong các khu_phố . những gì mcdonald có là sự nhất_quán trên tất_cả các cửa_hàng của nó . mcdonald tại vị_trí này lớn hơn những người khác . nó cũng sử_dụng nhân_viên thu_ngân tự_động hơn .,2
"nhân_viên phục_vụ và quản_lí điều tệ , không quan_tâm khách , không có dụng_cụ ăn_uống dành cho khách ngồi tại_chỗ , khu_vực để tương không sạch_sẽ .",0
mcdonalds khá giống nhau ở khắp mọi nơi . tiêu_chuẩn hợp_lý trên tất_cả tôi tin . dịch_vụ là tốt . một_số mục menu khác nhau một_chút . nhiều lựa_chọn nước sốt hơn . khu_vực nhỏ mặc_dù vậy có_thể trở_nên đông_đúc,2
rất không chuyên_nghiệp trong việc cung_cấp . không nên đặt_hàng bằng cách sử_dụng giao hàng tại mcdonald vn . tôi đã đặt_hàng và chờ_đợi gần một giờ mà không có bất_kỳ thông_báo nào cho sự chậm_trễ từ mcdonald trong khi nó nói rằng trong thời_gian giao hàng là tối_đa 30 phút . đã gọi cho họ sau 45 phút để giải_quyết nhưng tôi vẫn phải đợi gần 20 phút sau đó để có được oder của mình,0
ẩm_thực địa_phương ngon hơn,2
"nhập vào thứ_bảy trước buổi trưa . nó rất đông_đúc và thật khó để tìm thấy một chỗ ngồi khi ăn vào . hương_vị là mcquality , nhưng nó vẫn ngon hơn khi ăn_ở nhật_bản . ưu_điểm lớn nhất là nó rẻ và an_toàn để ăn .",0
được rồi,2
desgusting,0
"thật_sự mà nói là quán phục_vụ rất tệ và trải_nghiệm quá là ấm_ức . nhân_viên thì xem khách không ra gì , hỏi a ơi dụng_cụ ăn_uống đâu ạ , thì a đầu_tiên là ngó lơ và coi như hông biết gì , và mình tiếp_tục hỏi a thứ 2 thì a_bảo kìa bên kìa kìa , trong khi đó tụi mình hông thấy nên mới hỏi lại . và cuối_cùng là tụi mình ăn nhưng hông có dụng_cụ ăn nois trắng ăn bóc đó ạ . nếu_như hai a nhân_viên đó mà đi ra ngoài ăn và gặp tình_huống như_vậy thì sẽ thấy thế_nào ạ . hông lẻ nói là miếng ăn là miếng nhục chứ ạ . bữa ăn tồi_tệ nhất mà tụi mình từng_trải nghiệm .",0
khoai_tây chiên quá mặn . burger choice kém không phải là mcdo khác và không có sự lựa_chọn của nước sốt cho nugget .,0
một sòng bạc,1
tuyệt_vời,1
"hương_vị có_vẻ giống nhau ở khắp mọi nơi , và nếu bạn đặt_hàng từ ki_ốt , nó sẽ được chuyển đến chỗ ngồi của bạn . đó là một_chút nhàn_nhã trước 12 giờ , nhưng có rất nhiều người .",1
luc nào củg đong khách nhung dich binh làm hạn_chế nguoi đi ăn,1
máy_điều_hoà không_khí xuất_hiện tốt và nó rất tuyệt,1
vị_trí tốt,2
hê hê đồ ngon,1
"mcdonald ở hà_nội , việt_nam . nó có vị gần như giống như mcdonald ở nhật_bản , nhưng có một kiểu gạo phổ_biến đối_với mcdonald ở đông nam á . gà là giòn và đủ ngon_ngọt . gạo là một_chút của một_chút một_chút của một_chút một_chút của một_chút một_chút của một_chút một_chút của một_chút khoai_tây chiên , cốm gà và bánh_mì kẹp thịt có_thể nóng trong hương_vị thông_thường của chúng . có chỗ ngồi trên tầng hai , vì_vậy nếu bạn may_mắn , bạn có_thể tìm thấy chúng . hơn_nữa , vì việc đặt_hàng được thực_hiện thông_qua một bảng điều_khiển điện_tử , sẽ khá khó_khăn nếu bạn không_thể quen với nó .",2
nhân_viên chuyên_nghiệp và cửa_hàng sạch_sẽ,1
"thực_phẩm giống nhau ở tất_cả các vấn_đề của macd là đỗ xe , có_thể đỗ xe , sau đó không_thể đỗ , trên và trên đó thay_đổi hàng ngày",0
bánh_mì mac lớn lạnh,0
ăn nhanh ...ngon .,1
mc donalds đầu_tiên của vn . mọi thứ ổn .,1
họ không có sữa lắc hoặc frappe shino,0
đông_đúc nhưng tốt .,1
rất tốt . nên ăn_uống tại đây . shipper grapfood rất nhiệt_tình,1
"nhân_viên không nhiệt_tình , đã dăn không lấy sketchup nhưng vẫn lấy , phản_ánh lại thì nhân_viên dửng_dưng . keo_kiệt khi chỉ đưa 1 chén nhưa đưng gia_vị . thức_ăn mắc nhưng không ngon",0
247 mcdonalds . nhân_viên sạch_sẽ và thân_thiện,1
không có thực_phẩm ăn_chay có sẵn .,2
"chỉ cần băng qua đường đến bưu_điện , số 86 bus stop phải trước bưu_điện , hãy đến cảng không_khí quốc_tế noi bai . giá vé có giá 35.0 vnd .",2
chất_lượng thực_phẩm khủng_khiếp . vô_cùng ồn_ào . nhà_vệ_sinh ướt và bẩn . không_thể tin rằng mc donald có_thể là điều tồi_tệ này không có lý_do để ở đây một lần nữa .,0
coi_thường tài_xế công_nghệ,0
pho burger không ngon lắm,2
"trong mcdonalds , họ cho tóc ăn .",0
"mình thường cho tụi nhỏ qua đây vì chúng rất thích rất thích những phần quà trong suất happy meal ở đây . các món ăn_ở đây mình thấy khá ổn , kem ở đây ngon hơn của lotte hay kfc .",1
nhân_viên thái_độ khi grab mua hàng trả đồ thiếu,0
"đối_với một nơi thức_ăn nhanh , nó là loại chậm theo quan_điểm của tôi . có_lẽ hôm_nay là một_chút đông_đúc và họ có_thể bị thiếu . đối_với việc tiếp_nhận đặt_hàng , họ đã làm_việc khá chậm , với việc đặt_hàng qua màn_hình hoặc chờ xếp_hàng . ngoài_ra , thực_phẩm là tốt cho giá của nó . tuy_nhiên , bạn vẫn có_thể nhận được một_cái gì đó khác tốt hơn nhiều hoặc thậm_chí với tỷ_lệ lớn hơn ở một nơi khác và thậm_chí cũng có_thể rẻ hơn . với điều đó đã được nói , chất_lượng thực_phẩm là tốt và phần là đủ . phê_bình lớn nhất sẽ là sự sạch_sẽ , mặc_dù . đôi_khi nó có_thể trông hơi cẩu_thả và bẩn . tôi biết rằng các nhân_viên chắc_chắn làm tốt công_việc của họ nhưng đôi_khi , hầu_hết các mớ hỗn_độn được tạo ra bởi khách_hàng chứ không phải do nhân_viên lười_biếng . nhìn_chung , một nơi tốt để lấy một bữa ăn nhanh , thậm_chí nó có_thể không đủ nhanh . sạch ở mức_độ vừa_phải và có chỗ ngồi ngoài_trời nếu bạn không thích không_khí điều_hoà_không_khí .",2
"họ đã miễn_phí thịt xông khói thịt lợn trong salad , tôi là người hồi_giáo vì_vậy ..",2
nơi tốt,2
bạn muts trả 40.0 vnd cho 2 gói sốt cà_chua và bắt_đầu . không được chào_đón .,0
"đẳng_cấp hơn các loại gà rán khác , cảm_giác đang ở mỹ chứ không phải vn , 2200 vẫn đông khách ..",1
nhan vien noi truyen kho nghe .,0
điềm mc donal duy_nhất tại hà_nội,1
phục_vụ cực_kì tốt nhân_viên thân_thiện view rất đẹp,1
"có nhiều loại nước_chấm sốt ăn ngon lạ_miệng , hơn những nơi khác .",1
một fastfood bình_thường d,2
"uh , tôi nghĩ rằng tôi nên ra khỏi trụ_sở . nó không tốt cho vệ_sinh , nhưng nó thực_sự đáng để đi nếu bạn nghĩ về mcdonald .",2
"mcdonald tuyệt_vời . trên thực_tế , thực_phẩm có chất_lượng cao , đơn đặt_hàng đã được chuẩn_bị nhanh_chóng , vì tiền nó không đắt lắm . những gì khác được yêu_cầu của mcdonald thật ngạc_nhiên khi các loại nước sốt là miễn_phí . sau khi nhà_vệ_sinh trả tiền ở châu_âu , nước sốt miễn_phí ở châu_á chỉ là một món quà .",1
tôi đã ở đây hàng trăm lần . nhưng gần đây tôi cũng có những thủ_thuật trong đó . không_chỉ một lần mà là gấp ba . bây_giờ tôi nghĩ họ là những tên trộm,0
"chắc do mình thấy không hợp với vị gà mặn , ăn ngán .",2
thai đô,0
"vị_trí tốt , thức_ăn ngon...nv thiếu nhiệt_tình",0
tốt ...,1
"mcdonalds có ngon không was mcdonalds good 😀 khoaiinhanoi yup , đợt vừa_rồi 2 đứa cuối_cùng cũng đã được thử mc donald ở hn :hôn mặt: bọn mình đã chọn những thứ căn_bản nhất và nổi_tiếng nhất ở đấy như mcnuggets , cheeseburger và mcflurry . ngoài_ra thì_có gọi gà rán với khoai chiên nữa . và thực_sự thấy rất bất_ngờ , bơi vì mấy món nổi_tiếng ... chả ngon như lời đồn 😳 burger không ngon bằng của kfc ấy huhu , miếng thịt bò nhạt_nhẽo , khô xác_xơ , ăn còn không có vị bò , với 1 miếng cheese , tí xốt , hết nuggets cũng thế , vị rất bình_thường không có gì thần_thánh hết thất_vọng quá huhu :mặt khóc to: cái kéo_lại ở đây nhất chính là quầy sốt chấm , có đến tận 5 loại , ngoài ketchup với tương_ớt ra thì còn có cả tương_ớt tỏi , mù_tạt mật_ong với mayonnaise . nhưng_mà kem thì đúng là ngon thật , ngon nhất trong mấy hãng đồ_ăn nhanh kiểu này . gà rán cũng khá được ý . khoai_tây chiên ngon , hôm 2 đứa ăn lại còn được khoai mới nóng giòn :hôn mặt: thấy có cả bánh nữa nhưng_mà 2 đứa chưa thử . nhìn_chung là_hơi buồn , vì thấy nhiều người nghiện đồ_ăn ở đây nên kì_vọng hơi nhiều :mặt cười đầy mồ hôi: :vòng tròn đỏ: mcdonalds :đinh ghim tròn: 2 hàng bài , hà_nội :ký hiệu đô la nặng: 15295 k yup , on the trip to hanoi , we even tried mc donald :hôn mặt: we chose the most famous stuffs there like cheeseburger , mcnuggets and mcflurry , with some other stuffs like fried chicken , fries . were so surprised , cuz ... they werent that good 😳 the burger was so bland , dry beef patty , didnt even taste like beef , with a silce of cheese , some sauce , done . same with the nuggets , too normal to be something :khuôn mặt trầm ngâm: the nice thing in here that we love the most was they have 5 kinds of sauce , not just ketchup and chilli sauce , they even have mayonnaise , garlic chilli sauce and honey mustard :mặt cười với đôi mắt trái tim: but the mcflurry was really good , best ice cream in all of the fasfood franchises for us . the fried chicken was nice . good fries , we got them from a new batch , so they were even hot and crunchy :hôn mặt nhắm mắt: they have cakes too but we didnt try . in general , it was a lil bit sad , like there are a lot of people that addicted to these stuffs so we really had high expectation ... :khuôn mặt trầm ngâm: follow our blog on instagram and facebook for more reviews khoaitaykhoaita _",2
đó là mcdonalds điều gì có_thể sai :khuôn mặt rạng rỡ với đôi mắt cười:,1
mc donald bờ hồ vị_trí đẹp . muốn ăn md mình thường ghé vào đây thik nhất món kem và bánh big mc,2
nv phục_vụ chưa tốt,0
đã không đáp_ứng mong_đợi của tôi đối_với một mcdonalds bình_thường . bánh_mì đã nhai và bánh burger rất lộn_xộn . dịch_vụ rất nhanh và tốt nhưng các bàn đã dính và không được làm sạch tốt . không phải là một chiếc burger mcdonalds thích_hợp,0
"view đẹp , nhìn ra tràng tiền , hồ gươm . máy order tự_động , nhanh gọn lẹ .",1
"phục_vụ món ăn nhanh đúng kiểu mỹ , chỉ cần lái_xe vòng ra phía sau , chọn món và lái đến_nơi thanh_toán . khoảng 1p sau nhận_thức ăn tại cửa ra , nhanh_chóng và tiện_lợi",1
cung ôn,2
dịch_vụ tốt mcdonalds cổ_điển,2
đôi_khi đồ uống yếu,2
khi bạn cần 1 bữa ăn đầy_đủ giao về nhà qua grab . thì bạn lại nhận được 1 nửa món hàng và mất 30k tiền điện_thoại để báo nhà_hàng là giao thiếu món phải_chăng nhân_viên ở đây không được đào_tạo hoặc quản_lý bận xem youtube làm_ăn mất uy_tín vậy sao tồn_tại được terrible service ever untrained and unprofessional staffs,0
"khách đông , nóng , phục_vụ món nhanh",2
"mcdonald mcdonald đẹp và sạch với thức_ăn ngon . thực_sự yêu thích cách nước sốt miễn_phí trên vòi , không giống như hồng_kông . vì_vậy , đó là một phần_thưởng",1
"đồ_ăn ngon , không_gian rộng thích_hợp cho vui_chơi ăn_uống hội_họp gia_đình dịp cuối tuần",1
không sao đâu . nhưng các nhân_viên không bao_giờ cung_cấp dịch_vụ bàn khi trả tiền tại quầy .,2
đài_loan vẫn tốt hơn,2
verry tốt,1
không phải là thời_điểm tốt để đến thăm họ đã xây_dựng trong giờ ăn trưa .,2
khâu phục_vụ chưa thật tốt,2
"họ đã miễn_phí thịt xông khói thịt lợn trong salad , tôi là người hồi_giáo vì_vậy ..",2
quán mở 2424 nhưng khu_vực wc lại không sáng đèn . bạn mình tả lại là đi wc như kiểu đi vào phim_trường phim kinh_dị không có đèn mà chỉ có ánh_sáng dạ_quang le_lói từ đâu_đó phát ra không rõ .,1
"bầu_không_khí tốt và nhân_viên thân_thiện , thực_phẩm phù_hợp với các tiêu_chuẩn",1
mua đồ,0
nhân_viên thái_độ khi grab mua hàng trả đồ thiếu,0
ok sạch_sẽ . cũng bình_thường .,2
đồ_ăn không thực_sự ấn_tượng . gọi 2 suất cơm thịt heo thêm 1 combo . hơi bất_ngờ rằng quán bán cơm nhưng không có nổi 1 cái thìa . cơm hơi nát . mình có gọi thêm rau với dưa_chuột kèm theo với cơm mà chỉ có 1 chút . không biết nếu không gọi thêm thì như_thế_nào bánh burger kèm combo gà là cái mỏng nhất mà mình thấy . bánh nhiều sốt nhưng hầu_như không có chút rau nào . gà ướp ngấm gia_vị khá tốt . nếu không có món gà chắc mình chỉ đánh 2 sao,2
"đã ăn đâu , nhưng_mà 5 sao",1
"có món cho buổi sáng , bánh hơi dai với cứng",2
thức_ăn nhanh để nếm thử,1
fastfood .,2
"sạch_sẽ , rộng_rãi . đồ_ăn và phục_vụ ok",1
cảm_ơn mc cho hai bố_con một buổi chiều vui_vẻ,1
gần.lake,1
rất chậm và trên lầu rất bẩn,2
dịch_vụ ngày_càng tệ,0
đắt vãi,0
"burger tạm ổn nhưng cơm bò , cơm trứng thì dở tệ , ngọt ngọt như ăn chè xôi ấy hic",2
"nhân_viên thiếu linh_hoạt khi tính tiền chậm_chạp , giải_thích trả_lời vấn_đề khách đại_khái",0
"vị_trí này quá đỉnh , vị đồ_ăn thì đồng_nhất với hệ_thống",1
