sentence,sentiment,tokenized_text,emoji to text,emoji to text + stopwords
mcdonald là không thể thiếu anh ta có một chiếc bánh burger cá cho những người tìm kiếm thức ăn halal,positive,mcdonald là không_thể thiếu anh ta có một chiếc bánh burger cá cho những người tìm_kiếm thức_ăn halal,mcdonald là không_thể thiếu anh ta có một chiếc bánh burger cá cho những người tìm_kiếm thức_ăn halal,mcdonald không_thể ta bánh burger cá tìm_kiếm thức_ăn halal
"không có gì để chê, mê tương ớt mc donalds, giữ xe 10k.",positive,"không có gì để chê , mê tương_ớt mc donalds , giữ xe 10k .","không có gì để chê , mê tương_ớt mc donalds , giữ xe 10k .",chê mê tương_ớt mc donalds xe 10k
tôi đã tò mò về chibab gum rất ngon thật dễ dàng để có một bữa ăn ngon vì cũng có một chỗ ngồi.,positive,tôi đã tò_mò về chibab gum rất ngon thật dễ_dàng để có một bữa ăn ngon vì cũng có một chỗ ngồi .,tôi đã tò_mò về chibab gum rất ngon thật dễ_dàng để có một bữa ăn ngon vì cũng có một chỗ ngồi .,tò_mò chibab gum ngon dễ_dàng ngon chỗ
ngon. nhưng pizza nhỏ. bánh mì kẹp thịt thông thường nhỏ hơn một món ăn của trẻ em trong cả nước.,positive,ngon . nhưng pizza nhỏ . bánh_mì kẹp thịt thông_thường nhỏ hơn một món ăn của trẻ_em trong cả nước .,ngon . nhưng pizza nhỏ . bánh_mì kẹp thịt thông_thường nhỏ hơn một món ăn của trẻ_em trong cả nước .,ngon pizza bánh_mì kẹp thịt thông_thường món trẻ_em
mcdonald duy nhất ở thị trấn cổ hà nội.,positive,mcdonald duy_nhất ở thị_trấn cổ hà_nội .,mcdonald duy_nhất ở thị_trấn cổ hà_nội .,mcdonald duy_nhất thị_trấn cổ hà_nội
cảm ơn bạn cho bữa ăn.,positive,cảm_ơn bạn cho bữa ăn .,cảm_ơn bạn cho bữa ăn .,cảm_ơn
họ vẫn không biết làm thế nào để làm khoai tây chiên của mcdonald tốt,negative,họ vẫn không biết làm thế_nào để làm khoai_tây chiên của mcdonald tốt,họ vẫn không biết làm thế_nào để làm khoai_tây chiên của mcdonald tốt,thế_nào khoai_tây chiên mcdonald
thức ăn tuyệt vời,positive,thức_ăn tuyệt_vời,thức_ăn tuyệt_vời,thức_ăn tuyệt_vời
cheeseburger deluxe cheeseburger thông thường trông như thế nào,negative,cheeseburger deluxe cheeseburger thông_thường trông như_thế_nào,cheeseburger deluxe cheeseburger thông_thường trông như_thế_nào,cheeseburger deluxe cheeseburger thông_thường trông như_thế_nào
không gian ok hamburger không ngon,neutral,không_gian ok hamburger không ngon,không_gian ok hamburger không ngon,không_gian ok hamburger ngon
thường xuyên,neutral,thường_xuyên,thường_xuyên,thường_xuyên
