name,text,stars
faig halwai,"ماكدونالدز غني عن التعريف
يوجد لديه برغر سمك لمن يبحث عن الطعام الحلال",4
Phương,"Không có gì để chê, mê tương ớt Mc Donald’s, giữ xe 10k.",5
Yeonsil Kim,"치밥이 궁금해서 시켜봤어요 !
껌가 맛있네요~~ 좌석도 여유 있어서 간단하게 한끼하기 좋았어요 😀",5
Yehuda Ashkenazi,טעים. אבל קטן פיצי. ההמבורגר הרגיל קטן יותר ממנת ילדים בארץ.,4
DgLg,河內市老城區唯一一間麥當勞，店員禮貌親切，冷氣舒適，可用信用卡支付,5
わっち,ごちそうさまでした。,4
Tom Lieberman,They still don't know how to make good McDonald's fries!,2
Ben & Moon club (Ben 12),Amazing food,5
Bruce Crompton,Cheeseburger deluxe? What does the regular cheeseburger look like?,1
Thanh Nguyen,"Không gian ok
Hamburger không ngon",3
劉子耘-Teddy大頭,普通,3
yo Fermach,Le lieu est dans un état pitoyable des odeurs nauséabondes en bas,1
Mr Thảo 2725,"Cửa hàng sạch sẽ, đẹp đẽ. Ngồi tầng 2 có thể ngắm ra được hồ gươm, và dòng xe đổ về hồ gươm. Đồ ăn nhanh ngon, đậm đà hương vị. Giá cũng ok so với mặt bằng",5
Lê Tuấn Kiệt,"Nhân viên ngoan, ko gian sạch sẽ, yên tĩnh, gần trung tâm khu đi bộ rất thuận tiện cho việc đi dạo phố cuối tuần.",5
khaiminh Tranvu,Tôi thấy đồ ăn rất ngon,5
k1m,"McDonalds padrão, razoável se estiver com saudade de um hambúrger barato. Quando fui estava vazio porque o turismo pós pandemi ainda estava começando.",3
이승준,"🇰🇷 믿고 보는 한국인 리뷰 🇰🇷

호안끼엠 호수 근처에 있는 맥도날드입니다. 새벽 일찍 하노이에 도착하여 체크인 시간이 남아 방문했습니다.

이른 아침 시간이라 맥 모닝을 주문했고 낭낭하게 시간을 보낼 수 있었습니다.

그냥저냥 시간 떼우기에 좋으나 굳이 이 지점을 방문하여 맥도날드를 찾을 필요는 없어보입니다!",3
Shaun Pletschke,"I ordered chicken and a Big Mac via Grab Food and it was the worst meal that I've had in Hanoi so far. Avoid ordering from this branch if you can, especially through Grab.",2
Phuong Tran,Ok service. Mediocre food,4
Issey Draft,トイレとフリーWi-Fiに困った時の駆け込み場所。,5
山際一三,"チョコレートアイスを注文しレジで精算し席に着いた。……あとから来て注文したカップル💑が商品を受取り店の外へ出ていく。…次のカップルも……私の前の家族連れの商品は、２階へ店員が運んで行った。…私の後の家族の商品も２階に運んで行く。あれ、私のチョコレートアイスは？……店員は、私のレシートを確認レジ前のレシートの山を遡る……やはり忘れている🤣🤣🤣

こんな事が2日も続くとは…。
今はツキが戻るのを待とう😆

店員に悪気は無さそう。…ハハハ",2
Pravin PK,Affordable food for everyone,5
Sofie Bagger,Fin service klassisk macdonalds,3
Sarah Jackson,"Might as well just serve it in a small size even though we pay for large and ask for large. Are you rationing potatoes?

Happens every time.

Order large and they ALWAYS fill it less than half.",1
Nick “Six” Masters,A good place to eat after doing your shopping at the Plaza across the road.,5
Ngọc Hân Lê,"Đồ ăn ngon, nhiều loại nước, sốt, bánh, tráng miệng, giá cả 4/5. Không gian đẹp, rộng",5
thinhqt,Tuyệt vời,5
송종한,메뉴가 한국이랑 약간 다르며 종류도 더 적음. 그래도 가격이 저렴하고 맛은 한국이랑 다르지않음,5
Pham Đức Mạnh,Không có chỗ gửi xe,4
Philip Alva,Great experience and ambiance.,5
Đức Tâm Nguyễn,Nhân viên làm ăn lề mà lề mề.,1
Snsjnxnxnx Wjdxnjxkdnd,Làm quá lâu,1
alexis 3375,"Après le Cambodge et le Laos un vrai plaisir de retourner dans un fast food. Le prix est très correct, la nourriture plutôt bonne.",4
Grigory Zimenkov,McDonald’s is everywhere good,5
bui tuan anh,"Mình đi cuối tuần nên quán rất đông. Đặt món bằng máy nhưng vẫn phải ra quầy thanh toán nhé, sau đó nhân viên sẽ đem đồ lên cho bạn. Đồ ăn nhanh nên không có gì để nói, ăn no là được. Nhân viên nhiệt tình, mình nhờ mấy việc họ cũng chạy đi làm cho. Quán vị trí đẹp nhưng view nhìn hầu như không có mấy. Cả quán chỉ có 1 nhà vệ sinh 2 phòng nên ăn xong muốn rửa tay hay đi vệ sinh xếp hàng khá mất thời gian.",5
Min Lee,"결재하고 2층에서 식사하는데 여태까지 먹은 맥도날드 빅맥 중 퀄리티 제일 낮음. 혹시나해서 석달사이에 2번 왔는데 2번다 맛없었음. 미국, 한국, 캐나다등 많은 지점에서 먹어봤지만 여기가 최하위임 직원들이 늦은 밤이라 피곤한지 구석에 쓰레기 그대로 방치해두고 안 치우는데 비위생적이고 이 지점은 다시 방문 할 생각없음",2
Tuấn Dũng Trần,Ko gian hơi nhỏ nhưng sạch sẽ. Trời mùa hè vào ăn mát lạnh thấy…ngon hẳn 😂,4
Александр Семенов,Выкидывают мусор прямо при гостях. Он очень сильно воняет! Испортили аппетит,1
Md. Paiker,As usual a good place for MC lovers.,5
Danny Birkett,Very busy two storey McDonald's. They bring your order to your table and the food is so fresh and tasty and the burgers 🍔 actually look like the pictures. And the place is spotless the staff are always cleaning.,5
James Oh,맥도날드 구요.. 뭐 별거 있나요.,5
내사랑비치,"아이들과 여행시 무조건 맥도날드죠
하노이 맥도날드도 역시 좋네요
호안끼엠호수에서 아침운동하고 맥모닝 먹으니 애들이 엄청 좋아하네요.
깨끗하고 맥모닝 아이스크림 커피 다 맛있었어요",5
Đức Phạm,Bạn nhân viên giúp mình lấy đồ khi mình đang chờ nên 5 sao nha. Có note quán rất đông nếu ăn tại chỗ buổi tối cuối tuần nha,5
Farhana,"Hands down, I would pick the McDonald’s in Vietnam any day over what we have here in Singapore.

The spicy chicken was crispy and so sooo good, I had plans to reorder it (but then I selected the non-spicy chicken) which wasn’t up to mark.

Very satisfied with the burgers and chicken McDonald’s offer. Will be back (hopefully)!",5
HYEONSOL JEONG,"저녁에 사람이 너무 많아요.
키오스크는 익숙치가 않은지 한세월 걸리네요 사람들이.
손님이 너무 너무 너무 많아서 직원들이 테이블 정리를 못해요.
소스도 부족한데 리필도 안돼요.
햄버거는 뭐 그냥 빅맥인데 패티가 전자렌지에 돌린것 같고 버거 사이즈가 좀 작은 느낌입니다.
근데 좀 저렴해요 한국보다 더.",3
Kim Ngân Nguyễn Vũ,Bảo vệ thu thêm tiền gửi xe. Mà kp khách nào cũng thu. Có thể là biển tỉnh lẻ sẽ thu thêm,3
Han Na,"mé nó vào bấm mãi đồ ăn mà không được, nhân viên thì đơ đơ",3
Ayanda Nhlapo,Just another mcdonald's.  Food was fresh and tasty.  Not quite like the taste in South Africa.  Very different.  Not sure if it's the mayo or chicken spice  but good otherwise,4
Anne Kang,친절하요~ 다만 1층 입구만 시원해요 ^^,5
Hello Walker,"베트남에 와서 가장 맛없는 커피를 여기서 먹었습니다;;; 카페라떼도 아니고 카페쓰어다도 아니고 이게 뭔지;;; 가격은 또 어찌나 콧대가 높은지. 맥도날드를 비추하기는 처음입니다;;;
이곳을 나가셔서 다른 질좋은 식사와 커피를 접하시길 바랍니다;;;;",1
Roger R.,"SLOW and confusing

Sometimes the chicken here is super good, but its not reliable or consistent. I renounce eating here.",2
Arun Dutta,Just okay,4
Anduin Lin,"麥當勞和肯德基在越南開的不多
我推測是因為越南人習慣吃的清淡
但是價格上和台灣相比便宜很多
聖代冰淇淋一樣很好吃
薯條和台灣差不了多少
這裡的炸雞雖然沒有台灣的好吃
但是雞胸肉的部分很大一塊
要是炸的部分能改善一下就很完美了
要是吃飽了附近有一間越南很紅的冰棒店
可以去吃吃看
麥當勞門口出去兩點鐘的方向走去
不用兩分鐘就可以看到冰棒的招牌",4
Mỹ Trinh,"Đồ ăn ngon, các bạn nhân viên ở đây phục vụ và hướng dẫn rất nhiệt tình.",5
Karen Lapniten-Bosaing (karenkariana),"This, so far, is the only McDonald's that I have been to that serves healthy options! I got shake shake salad and corn :-)

You can order using the machine and pay for your food using card. It is quite convenient.",5
Hung Doan,Same as any Macca's in Australia. Just no apple pies,5
Yoram Shitrit,"מזעזע ביותר!!!
הזמנתי בורגר עוף ,קיבלתי דוגמית של ביס,לא יותר. המחיר אינו מצדיק במאומה את הבורגר, החזרתי להם את המנה ודרשתי את כספי בחזרה. אחרי ויכוח קיבלתי את כספי ועפתי משם. פשוט ביזיון",2
Victorian Thibault-malo,Matcha-Oreo Mcflurry was *chef's kiss*,5
Hồng Sơn Nguyễn,"Food in here is warmer than other food, nice food service, and fries, fillet-o-fish and chicken nugget is really good",5
VuongToanChien Chiến 686868,Chờ lấy đơn quá lâu,2
Laura de Vries,"Classic McDonald’s, good deals, give you a coupon for the next time you visit! Highly recommend the McSpicy and the Vietnamese latte",5
Quỳnh Anh Phạm,Làm đồ chậm còn thái độ với khách,1
Max Me,"Einer der wenigen McDonald's in Hanoi, zentral gelegen mit Bedientterminal und Bring in Service. Sehr gute Preise, auch mit der McDonald's App Vietnam kann man hier noch besondere Deals nutzen. Überwiegend von Touristen genutzt bei ausreichend Sitzplätzen, auch im ersten Obergeschoss. Nahe der Altstadt und anderen Sehenswürdigkeiten gelegen kann man hier sich vorbereiten auf den Besuch der Sehenswürdigkeiten. Gut, nicht zu kalt, klimatisiert mit sauberen Toiletten.",4
김낙원,누구나 아는 맥도날드입니다. 그렇지만 현지의 오묘한 맛의 차이를 느끼고 싶다면 추천드립니다. 사람이 너무 많고 아직 베트남 사람들은 키오스크에 익숙치 않는 모습입니다,4
Leonardo Duc Dao,Reis mit Hähnchen und Salat gibt es nicht in jedem Mc Donalds. Daher unbedingt ausprobieren. Das Hähnchen ist knusprig und der Reis ist frisch gemacht,4
강수민,빅맥먹었는데 맛있었어요,5
Trung Nguyen Tuan,Hệ thống đặt hàng bằng máy rất nhanh và tiện lợi.,5
謝宗銘,Ngon,5
Benoit Pirenne,On a pas pu s'en empêcher après plusieurs semaines de nourriture locale !,4
melvin san gabriel,Service is fast. They have crew all over the place to assist you.,4
Hsu James,Vietnamese test,3
Minh Tú Hoàng,"Ngon, sạch sẽ",5
Pratik Gadgil,"I went here twice. The order didn't take long to place, and there were staff to help when I couldn't place the order through the touch screen device ( since I have never placed one in that manner before ). The order was served to my table within 7-8 mins. There are both- high and normal level of seats available.

I tried the same burger on both occasions, and it was very good, there are many customizations available, and there is an option to add extra or exclude an ingredient you want and don't want respectively. Found it better than one of the competitors. The rates do look a bit high, but surely there is a variety, and the area is also quite large. Being located right next to the HK Lake does gives the restaurant a competitive advantage.",5
Cristina Nannarone Tran,"I had to taste test the coffee :) it was awesome cause Vietnam knows it coffee!  Hubby tried the big breakfast and said it was good but he was so happy to have a strawberry sundae since they took those away in Canada (no idea why )
When in another country you gotta try at least one chain place for fun 😊",5
Nguyen Huy Tung,Không gian chật quá!,4
Douglas Johnson,True McDonald’s in nearly every way. Taste is the same as back home but much friendlier and happier staff. The Oreo McFlurry with extra Oreo was perfect on a hot and humid day walking around Old Hanoi!,5
Cường Trần,Mình thích ăn Big Mac,5
Dennis Danetzki,"One of the worst McDonald’s experiences I ever had. First of all our order was forgotten and we had to ask after around 15 minutes as it disappeared on the display.
After the unfriendly employee gave us our order and we went to our table, we noticed that our burger were completely fallen apart and one half was even in the bag.

The quality of the food was (beside the look) like McDonald’s and not very different to European/Western McDonald’s.

Besides that I would not recommend going to this restaurant.",1
Papuas Kanibal,"מקום נקי, מהיר וזול",5
Itay Chechik,Why would you come all the way to Hanoi to go to mcdonalds,1
Kushi Bomba,"Food was ok

When we were there, it was full of families and the whole place smelled like sewer

Thankfully my poop0o time afterwards was A-Ok, so 3💫",3
Harry Hải,1 trải nghiệm thú vị!,5
김용찬,특별할거 없음,3
yakamo k,The machines mess up any customisation you make . This has happened several time so I quit coming here as it's too much time and effort.,1
Neil 3413,廁所好髒.....,4
S SS,I really like the burgers here and milkshakes too and very clean toilets.,5
JD DAVIS,It was a McD.  You know what to expect and they deliver!,4
giaphong phung,gọi gà k cay ship gà cay,1
LUẬT SƯ ĐÔNG NAM Á (Thuat lawyer),Khá cuốn hút trẻ em,3
Binh Nguyen,No more Big Mac🥲,5
Ondřej Bařina,Normální Mc.,4
Bảo Nguyễn,"Oke, gửi xe 10k, đồ ăn cx vừa",4
전대풍,맛은 어디든 비슷한 것같고 키오스크에서 주문하면 자리로 배달해주네요. 12시 전엔 좀 한가한데 넘어가면 사람 많아요.,5
Mjaatr Hz,Scam!!!!! We wanted to use our very valid coupons and they didn’t make it work for us. We had calculated for hours and put a lot of effort in to it. Very unprofessional,1
Peter Maffai,"Ist halt ein McDonald's. McSpicy ist sehr lecker, vorsicht scharf(!)",3
Angel L,As expected.,4
Guilherme Camargo (itsguilhermecamargo),"Aparentemente não tem padrão, comida é normal mas o local é sujo e muito fedido, nunca fui em um MC Donalds fedido assim, nem em Nova Iorque nos piores bairros com moradores de rua é tão sujo assim, fui em alguns MC Donalds de Saigon e era tão limpo! Em relação aos funcionários tudo bem , só melhorar a limpeza e o fedor",2
R Lucy,"Très bon repas, niveau prix c'est abordable (hormis le poulet je trouve). Ils sont généreux en termes de quantité ce qui est agréable.
Personnel agréable.
Facile pour y aller (bus) et à proximité du lac.
Le repas en question : Big Mac, frappé goût matcha, sundae chocolat et poulet",4
Victor G,McDonald’s is McDonald’s,3
D Mmm,"屋台飯やローカルフードに疲れてきたときに入りました。注文はタッチパネルで、お米のなんかのセットをオーダー。ジュースは追加料金？がありましたがMサイズ(大体日本のMと同じかな？)にしました。番号で呼ばれるし、店員さんも観光客に慣れてて早い。注文ミスの不安がない。あとベトナム限定メニューもあるし、旅行中1回くらいは訪れる価値ありです！
あと、お米の何かはジャスミンライスっぽい味で、チリソースかかってました。久々の白米が美味しく、味も良かったです。

GFS BIG RICE MEAL ₫ 49,000(≒ 274円)
JUICE M ₫ 5,000(≒ 28円)",4
Pritesh Shetty,Located in a decent area. Was filled with foreigners upstairs with loud noise. The floor was very wet and people were slipping. Cleanliness wasnt good. Please work on it. Food was decent.,3
J. B. (Joa_NYC),Food and service great!...but the second floor smells musty,3
Leonardo de Leon,Nice,5
Alexander Yudin,"Big breakfast is available, which I used to eat in Russia. But was no paper in toilet. Sadness",4
Nhat My Truong,Dịch vụ ko thể tệ hơn được. 3 lần order lần nào cũng đưa thiếu đồ.,1
Shi Belya,"Заказывая здесь будьте готовы к тому, что помощи сотрудника вы не дождётесь, потому что вьетнамцы используют одного единственного сотрудника как официанта, заставляя его полностью делать заказ на пункте самозаказа и только показывают ему пальцем куда нажимать. Это дно. Почему сотрудники здесь настолько не ценят себя и выполняют не свою работу - другой вопрос. Факт в том, что если вам нужна помощь, сотрудник будет занят какой-то ерундой",2
D Nöth,Ausverkauft,1
Line D,Good place and clean,4
Ala Ershaid,🥰❤️✌️,5
이용찬,편리하고 좋아요. 베트남 일반 음식 가격 보다는 비싸요 하지만 베트남에서 먹는 햄버거도 별미예요...,5
高梨直季,ベトナムハノイのマクドナルド。日本のマクドナルドとほぼ同じ味ですが、東南アジアマクドナルドあるあるの『ご飯系』があります。チキンは十分にカリカリジューシーで美味しいです。ご飯はパラパラ系なので好き嫌いはあるかもしれません。フライドポテト、チキンナゲット、バーガー類はいつもの味でホットできます。席は2階にもあるので、運が良ければ見つかります。なお、電子パネルでの注文なのでなれないと結構大変です。,3
ash em,暑いハノイでは飲み物もよく飲むし、したがって出るものも増えます。公衆トイレがほぼない街なのでここは非常にありがたいです,5
Husni Pratama,"Sehr bequem. Wir können online bestellen, um nicht Schlange zu stehen. Aber manchmal lange serviert.",5
Thị Xuân Bùi,Nằm ngay ngã tư hàng bài tràng tiền. Siêu tiện nằm trọn trong khuôn viên đi bộ Hồ Hoàn Kiếm dễ dàng ăn nha,5
Hà Đinh,Very good,5
Esteban Cuello,Buena comida para salirse un poco de los sabores del sudeste asiático. Rica hamburguesa que trae mayonesa. Buen servicio y muy limpio. Además que los precios son bajos en comparación a los valores occidentales. Buena opción si busca comida distinta en Vietnam,5
Linh Nguyễn Duy,Không khí trong quán mùi lắm .,3
Habdula Gannivala,"Experience rocambolesque!!

Arrivé sur les coups de 13h avec un couple d'amis nous avons fait une commande groupée sur une borne. Durant le temps de celle-ci mon camarade n'a cessé de se faire bousculer par des gens qui s'impatientait. A peine je dis bien à peine le ticket de notre commande sorti la dame de derrière accompagnée d'une employée nous ont empressé de libérer la borne soulignant que nous mettions trop de temps sur un ton désagréable !

Nous avons récupéré notre commande assez vite malgré la cohue puis nous sommes sorti mangé dehors.
Quelle ne fut pas ma surprise lorsque je découvrit que mon burger ne correspondait en rien à celui que j'avais commandé.
Nonobstant les prix sont corrects pour mes confrères européens qui me lisent il vous faudra débourser environ 5€ pour un menu large.",3
Vamsi Vardhan reddy,Best place who want to skip Vietnam food. I am from India it is a very good choice for Indians as all Indian restaurants are very expensive.,5
Janae Stafford,Very busy and crowded location. Loud inside! More seating upstairs. All my good was great besides the cheeseburger. It was stale and soggy. I wonder if they gave me the wrong one?,4
Mike Landowski,"The food was consistent with what you expect from McDonald's. The service is extremely slow though. I went twice and one time it was busy and the other time there were 5 employees in the kitchen and I had the only order in process and it still took a long time. Also, they have lots of specials posted on their app. You can scan the code from the app using the kiosks if you prefer to order onsite also.",3
Boyd Wilson,"Had to try Vietnamese Macca's, pretty much the same as home but the fried chicken was very good.",4
FREAD TOM,"ハノイ ホアンキエム湖のマクドナルド🎵
安定の味🎶
マフィンも美味しい🎵",4
Suchin Official,"Nói chung là ok.
Lúc nào cũng đông.
Nhân viên phục vụ nhanh và nhiệt tình.
Đồ ăn thì đúng là đồ ăn nhanh nên để nói về ngon hay không thì cũng ko có gì để đánh giá.
Trẻ con thích ăn. Quán ở vị trí trung tâm. Quán nhiều trẻ con và người nước ngoài. Trông cũng sạch sẽ. Áp dụng màn hình công nghệ để oder đồ tuy hơi lâu vì nhiều người chưa thạo dùng. Nhưng nhìn chung là cũng thông minh. Ngoài ra nay còn có app để oder. Chưa thử nhưng có vẻ tiện. Các bạn thử xem nhé !",5
Hanna J,"Nice location, strong wifi and probably the best ice cream I've had in Hanoi",4
Hamed khalaf,very nice place,5
Sonja Rock,Refused to refund & cancel incorrect order placed by my 12 year old son on the self-service machine.,1
coffe e,다 녹은 아이스크림 줌. 밀크셰이크인줄..,1
bear new,タッチパネルで英語表記があるので簡単にオーダーできます。日本と同様店員さんも親切です。日本にはないメニューもあり楽しめます。トイレを借りるにも良いスポットです。,5
Alexander Nemirov,"Невероятно дорого конечно, но иногда норм)",3
Md. S Alam,Very good food and delicious,5
또또이,한국과 달리 주문하면 알아서 가져다 줍니다. 빅맥은 한국에 비해 매우 작네요.,5
Lexie J,"They have customized meals for Chinese New Year.
We went here for breakfast but of course the menu was different. i was hoping to see the full menu.

I wouldnt eat fast food in Hanoi. They have so much food varieties and it wont be as expensive as a McDonalds.",4
tristin godel,Good food,5
Hạnh Hạnh,"Giá rẻ, nhân viên tận tâm",5
Árpád Morvai,"Az ami ott van az szavakban nem kifejezhető! Senki semmilyen nyelven nem beszél, elmutogatom hogy mit nem kérek a szendvicsembe... Nyilván belerakták. Büdös, koszos...",1
Son Nguyenvan,Liked,5
Peter Gyorfi,"The eating area upstairs literally STINKS as the AC is not serviced and the windows are nailed shut. The floor is slippery from the oil of dropped food. There's food remains and tissues on the floor all over, cleaning seems to stop when the tabletop is empty..",1
D Powell,"It was extremely busy when I visited during Tet but, considering this, the service and food were good.",5
李律師,"來河內的每一天我都會買一包薯條
薯條比台灣炸的還好吃
物價比台灣便宜
但今天我吃到不明白色硬體",1
Nguyen Binh,Good experience,5
Thanh Bình An,Quán ok 👍,5
Minh Khổng,"Is so good, you need to try it",5
Loc Ngo,Ko có vòi xịt,1
조현욱,"역시는 역시 맥도날드는 맥도날드!

빅맥세트 10만동.
세계통합 맛.
호안끼엠.

(2023)",5
R.,"Sauber, freundliches Personal",5
HanMar “HM”,Mayo and garlic chili sauce nya enak,5
Dan Jones,Still using plastic straw's in 2023 :000,1
Chris Ellinas,Very nice 🍔,5
mark evison,Delivery down,1
Quang Thanh,"Ổn. Đồ ăn mang tính công nghiệp nên không đòi hỏi nhiều.
Lúc mình ăn là vào tầm trưa, miếng gà bạn mình vừa lấy từ tay nhân viên khs đã nguội nên là -1 sao.",5
Corbett Campbell,Good Oreo mcfurries,5
Brian Luck,"Classic McDs on the edge of the lake in central Hanoi
Plenty of seating upstairs, clean and airy
Menu has rice dishes too if you want",3
Toàn Phạm Việt,"Mình khá thích mc donard vì gà cay và có đến 4 loại đồ chấm, đồ uống có coca không đường recommend luôn",5
PHUONGTHAO CHU,"Đồ ăn ngon, thực đơn phong phú, quy trình chuẩn bị chuyên nghiệp, vị trí đẹp nhg địa điểm đông nên thành ra hơi nhỏ",4
Muhammad Syamsul arifin,"saya suka ketika winter, ada penghangat, staff membersihkan tempat tempat dengan bersih, kerja bagus",5
S.C. Jang,"그냥 평범한 맥도날드인데 치밥같은 메뉴가 있다 한국 가격의 80프로 정도 되는것 같다
음식때문에 지칠때 먹고 호수 한바퀴 돌면서 응옥선 사당으로 산책한번 하는걸 추천한다",5
DaeHa Jeong,치킨 맛집^^무슨 말이 필요할까요?,4
Phương Anh,"Thái độ nhân viên siêu tệ.
Tin được không? Cửa hàng đồ ăn không có dao to để cắt đôi hộ khách cái Burger 🤣🤣🤣",1
